"Longitude","Latitude","Parameter.Name","Date","level"
-115.12293,36.19126,"pm25",2014-01-02,14
-95.97654,36.2049,"pm25",2014-01-02,7.85
-121.12637,36.20929,"pm25",2014-01-02,7.5
-86.65314,36.29756,"pm25",2014-01-02,7.85
-79.46742,36.30703,"pm25",2014-01-02,13.3
-119.29123,36.33218,"pm25",2014-01-02,72.3
-121.73157,36.49577,"pm25",2014-01-02,6.1
-87.32805,36.51471,"pm25",2014-01-02,7.3
-82.52156,36.53876,"pm25",2014-01-02,11.4
-82.1641,36.608,"pm25",2014-01-02,11.5
-121.63718,36.69676,"pm25",2014-01-02,7
-97.08132,36.69727,"pm25",2014-01-02,8
-119.733,36.72639,"pm25",2014-01-02,61.8
-119.77417,36.78532,"pm25",2014-01-02,70.6
-119.71736,36.81911,"pm25",2014-01-02,59.1
-76.18123,36.84188,"pm25",2014-01-02,9.6
-121.36212,36.8441,"pm25",2014-01-02,11.6
-76.30135,36.85555,"pm25",2014-01-02,10.2
-87.32334,36.91171,"pm25",2014-01-02,9.3
-97.345,36.93997,"pm25",2014-01-02,10.4
-121.98933,36.98392,"pm25",2014-01-02,7.3
-121.57468,36.99957,"pm25",2014-01-02,13.2
-122.07569,37.04801,"pm25",2014-01-02,38.7
-88.57251,37.05822,"pm25",2014-01-02,9.6
-84.61152,37.09798,"pm25",2014-01-02,8.5
-76.38702,37.10373,"pm25",2014-01-02,12.3
-113.183,37.129,"pm25",2014-01-02,3.5
-79.88452,37.28342,"pm25",2014-01-02,16.7
-80.08102,37.29788,"pm25",2014-01-02,11.4
-77.25925,37.34438,"pm25",2014-01-02,8.8
-121.8949,37.3485,"pm25",2014-01-02,37.3
-77.45118,37.43467,"pm25",2014-01-02,15.4
-82.53532,37.4826,"pm25",2014-01-02,8
-122.20337,37.48293,"pm25",2014-01-02,20.6
-77.40027,37.55652,"pm25",2014-01-02,13.9
-77.5664,37.67132,"pm25",2014-01-02,12.1
-121.78422,37.68753,"pm25",2014-01-02,18.6
-85.85263,37.70561,"pm25",2014-01-02,9
-122.16993,37.74307,"pm25",2014-01-02,18
-122.39904,37.76595,"pm25",2014-01-02,20.4
-81.19743,37.80777,"pm25",2014-01-02,4.4
-122.28235,37.81478,"pm25",2014-01-02,25.7
-122.02615,37.93601,"pm25",2014-01-02,11.9
-122.35681,37.9604,"pm25",2014-01-02,25
-122.52,37.97231,"pm25",2014-01-02,21
-87.53229,37.97444,"pm25",2014-01-02,11.3
-87.55802,37.97447,"pm25",2014-01-02,11.1
-87.57786,38.01325,"pm25",2014-01-02,11.4
-85.89804,38.06091,"pm25",2014-01-02,11.2
-84.49761,38.06503,"pm25",2014-01-02,8.9
-78.50397,38.07657,"pm25",2014-01-02,10.5
-88.62494,38.08216,"pm25",2014-01-02,5.2
-122.23798,38.10251,"pm25",2014-01-02,26.35
-86.98321,38.16752,"pm25",2014-01-02,9.6
-85.65452,38.22876,"pm25",2014-01-02,10.2
-85.81566,38.23319,"pm25",2014-01-02,11.35
-82.9881,38.23887,"pm25",2014-01-02,5.6
-104.59761,38.2761,"pm25",2014-01-02,6
-85.74015,38.27768,"pm25",2014-01-02,12.6
-85.83417,38.30806,"pm25",2014-01-02,10.5
-122.29619,38.31094,"pm25",2014-01-02,18.6
-81.62832,38.3456,"pm25",2014-01-02,8.8
-81.69372,38.36618,"pm25",2014-01-02,11.4
-86.92916,38.39144,"pm25",2014-01-02,10.4
-85.66417,38.39383,"pm25",2014-01-02,9.7
-82.4259,38.42413,"pm25",2014-01-02,10.5
-78.81952,38.47753,"pm25",2014-01-02,21.6
-121.4585,38.55633,"pm25",2014-01-02,22.3
-76.14045,38.58763,"pm25",2014-01-02,11.6
-121.36801,38.61378,"pm25",2014-01-02,28.6
-90.19865,38.6565,"pm25",2014-01-02,10.2
-78.50442,38.66373,"pm25",2014-01-02,24.4
-121.16446,38.6833,"pm25",2014-01-02,6.7
-90.14476,38.70063,"pm25",2014-01-02,7.9
-76.74417,38.81194,"pm25",2014-01-02,13.3
-104.82856,38.84801,"pm25",2014-01-02,6.6
-77.05922,38.8577,"pm25",2014-01-02,18.5
-90.10585,38.86067,"pm25",2014-01-02,7.7
-77.0325,38.88083,"pm25",2014-01-02,17.3
-76.95278,38.89722,"pm25",2014-01-02,19.2
-119.73251,38.89756,"pm25",2014-01-02,21.1
-90.14317,38.90308,"pm25",2014-01-02,7.8
-77.01318,38.92185,"pm25",2014-01-02,19.3
-121.09959,38.93568,"pm25",2014-01-02,-1
-75.55518,38.98475,"pm25",2014-01-02,12.55
-86.99012,38.98558,"pm25",2014-01-02,8.5
-122.2818,39.02122,"pm25",2014-01-02,6.9
-77.48925,39.02473,"pm25",2014-01-02,25.3
-76.87833,39.05528,"pm25",2014-01-02,19.75
-108.56117,39.0638,"pm25",2014-01-02,12.6
-94.5708,39.10476,"pm25",2014-01-02,17
-84.55117,39.10492,"pm25",2014-01-02,10.9
